Name,Country,Geohash,TotalOrders,Address.Street,Address.ZIPCode,Address.Town,@metadata.@collection
Musicians Origins,AT,u26s9nq9k1f0,1,Böcksteinerweg,8732,Seckau,Customer
Output Engine,DE,u1mq30qp87hf,1,Rosenstraße,26810,Steenfelde,Customer
Coast Goodwill,DE,u0v38v1kxvqf,1,K 17,66871,Etschberg,Customer
Lucky Monroe,DE,u347ypvzg302,1,Am Baruther Berg,02906,Neudorf,Customer
Gusto Branch,DE,u0trwp01dtvy,1,Amselstraße,66969,Lemberg,Customer
Quest Trademark,FR,u072udmnmtrg,1,Chemin du Pont Canard,71700,La Chapelle-sous-Brancion,Customer
Basic Deem,FR,u0e1jmx9tvcf,1,Val freu,10250,Courteron,Customer
Vacation Loom,SI,u24pszx4t0c1,1,Begunjska cesta,4290,Bressiach,Customer
Silk Presence,AT,u2dh1v2rs6dt,1,Schloßstraße,4184,Helfenberg,Customer
Giddy Madame,PL,u37d7wuunnu6,1,Parkowa,64-550,Niewierz,Customer
Cats Vacation,FR,u0etxhermjn1,1,Chemin rural de Val-Seigneur,55000,Naives-Rosières,Customer
Genuine Express,FR,u0es3bzkh8gd,1,D 213,52410,Bienville,Customer
Aaa Prowl,SK,u2sf33y787wd,1,Močenská,951 17,Cabaj-Čápor,Customer
Allay un,DE,u334zk1d7c8f,1,K 6304,14641,Wustermark,Customer
Manual Slide,DE,u1pnj3tf5c84,1,Brandisbreite,37191,Katlenburg,Customer
Bold Habit,CH,u0qmkmjhc043,1,Berlig,9613,Mosnang,Customer
Ample Habit,HR,u25mg3f7zgh5,1,D14,49221,Špičkovina,Customer
Delightful Engine,CZ,u2czge6te6y6,1,25328,417 61,Ratsch,Customer
Sarah Diana,DE,u0vjy3evhq7w,1,Elztalstraße,56753,Pillig,Customer
Goodwill Cooperative,NL,u1k68mg3cr5n,1,Rijksweg N50,8276 BC,Zalk,Customer
Vanity Calm,DE,u1mv7d1s4nw7,1,Krumlander Straße,26197,Döhlen,Customer
Steep Fountain,CH,u0m52rbmrr0g,1,Bernstrasse,3238,Gals,Customer
Spices Parlor,FR,u0fpq4yw4cqz,1,Rue du Général de Gaulle,59551,Tourmignies,Customer
Particle Trestle,DE,u1qsdeq2b0y5,1,3. Bruchweg,27313,Stedorf,Customer
Act philosophy,AT,u27t2fdeeg8v,1,Augasse,7432,Oberschützen,Customer
Fixed Calm,DE,u1p0gge1uzks,1,K 103,36414,Unterbreizbach,Customer
Imprint BAIT,DE,u31s8hv5rs3f,1,Riesaer Straße,04924,Kröbeln,Customer
Emilie Hughes,DE,u0vhqygcqf8e,1,L 197,56858,Kappel,Customer
Habit High,AT,u2ek3rec7qtg,1,L1215,3714,Niederschleinz,Customer
Mission Curves,DE,u0zdzqsvcvex,1,ERH 16,91315,Bösenbechhofen,Customer
Mad Slap,DE,u32xwsq31qeu,1,Plauer Straße,19395,Ganzlin,Customer
